Name: Barclay-Kingston | Temperature: -273.1
Name: Baldwinsville | Temperature: -2.3
Name: Baldwin Park | Temperature: 16.3
Name: Ballwin | Temperature: 2.7
Name: Ardmore | Temperature: 6.4
Name: Bay Point | Temperature: 11.9
Name: Barnstable Town | Temperature: -273.1
Name: Ballston | Temperature: 1.4
Name: Bayonet Point | Temperature: 10.4
Name: Bay Minette | Temperature: 9.6
Name: Bangor | Temperature: 3.2
Name: Avon | Temperature: -1.0
Name: Bay City | Temperature: -6.3
Name: Arkansas City | Temperature: -3.0
Name: Ballenger Creek | Temperature: -0.2
Name: Bay Village | Temperature: -1.0
Name: Bay St. Louis | Temperature: -273.1
Name: Bay Shore | Temperature: 0.8
Name: Beaumont | Temperature: 13.9
Name: Beaver Dam | Temperature: -9.5
Name: Baltimore | Temperature: 0.7
Name: Azle | Temperature: 9.8
Name: Bardstown | Temperature: 2.6
Name: Bellingham | Temperature: 6.3
Name: Benton | Temperature: -0.1
Name: Avon | Temperature: -1.0
Name: Bartlett | Temperature: 3.7
Name: Beckley | Temperature: 0.6
Name: Barnhart | Temperature: 1.7
Name: Barre | Temperature: -6.4
Name: Back Mountain | Temperature: -2.3
Name: Bellmawr | Temperature: 1.6
Name: Belmar | Temperature: 0.2
Name: Bayville | Temperature: 1.8
Name: Bartlett | Temperature: 3.7
Name: Barstow | Temperature: 10.5
Name: Arlington | Temperature: 11.0
Name: Bergenfield | Temperature: 0.9
Name: Bedford | Temperature: 10.6
Name: Bedford | Temperature: 10.6
Name: Bayonne | Temperature: 14.0
Name: Avon Lake | Temperature: -0.8
Name: Bellingham | Temperature: 6.3
Name: Beloit | Temperature: -4.7
Name: Bellevue | Temperature: 3.8
Name: Bellmore | Temperature: 1.3
Name: Barre | Temperature: -6.4
Name: Beatrice | Temperature: -3.7
Name: Bay City | Temperature: -6.3
Name: Middleborough Center | Temperature: -1.2
Name: Bartlesville | Temperature: -2.0
Name: Beckett Ridge | Temperature: 3.0
Name: Azusa | Temperature: 17.0
Name: Baywood-Los Osos | Temperature: -273.1
Name: Berkeley Heights | Temperature: -273.1
Name: Camden | Temperature: 0.2
Name: Bedford | Temperature: 10.6
Name: Bellevue Town | Temperature: -273.1
Name: Bellview | Temperature: 8.5
Name: Baywood | Temperature: 0.8
Name: Bellefontaine | Temperature: 0.2
Name: Barrington | Temperature: -0.1
Name: Babylon | Temperature: 0.8
Name: Alamo | Temperature: 21.0
Name: Bellefonte | Temperature: 0.2
Name: Bellaire | Temperature: 16.3
Name: Apple Valley | Temperature: 6.2
Name: Beach Park | Temperature: -4.1
Name: Arlington | Temperature: 11.0
Name: Antigo | Temperature: -15.4
Name: Beaufort | Temperature: 30.0
Name: Belton | Temperature: 0.4
Name: Bellevue | Temperature: 3.8
Name: Amarillo | Temperature: 0.2
Name: Bell Gardens | Temperature: 17.7
Name: Alexandria | Temperature: 13.0
Name: Aberdeen | Temperature: 0.5
Name: Air Force Academy | Temperature: -7.0
Name: Alexandria | Temperature: 13.0
Name: Abington | Temperature: -0.9
Name: Abington | Temperature: -0.9
Name: Belleville | Temperature: -3.8
Name: Berkeley | Temperature: 13.3
Name: Altoona | Temperature: -0.6
Name: Alliance | Temperature: -0.5
Name: Cutler Ridge | Temperature: 15.9
Name: Altoona | Temperature: -0.6
Name: Mayfield Heights | Temperature: -273.1
Name: Alpine | Temperature: 16.0
Name: Aiken | Temperature: 10.4
Name: Auburn | Temperature: 2.5
Name: Airmont | Temperature: -1.1
Name: Baytown | Temperature: 15.0
Name: New Haven | Temperature: -273.1
Name: Andover | Temperature: 9.9
Name: Albany | Temperature: -2.7
Name: Adelphi | Temperature: 1.9
Name: Camden | Temperature: 0.2
Name: Affton | Temperature: 2.5
Name: Andover | Temperature: 9.9
Name: Aberdeen | Temperature: 0.5
Name: Andover | Temperature: 9.9
Name: Allendale | Temperature: -5.8
Name: Alameda | Temperature: 12.0
Name: Avondale | Temperature: 18.3
Name: Allentown | Temperature: -1.6
Name: Ashland | Temperature: -0.0
Name: Accokeek | Temperature: -0.4
Name: Alachua | Temperature: 3.0
Name: Alexandria | Temperature: 13.0
Name: Bellbrook | Temperature: 3.0
Name: Agoura Hills | Temperature: -273.1
Name: Atmore | Temperature: 7.6
Name: Alamosa | Temperature: -12.0
Name: Alliance | Temperature: -0.5
Name: Alpine | Temperature: 16.0
Name: Anaheim | Temperature: 16.8
Name: Ammon | Temperature: -11.0
Name: Bon Air | Temperature: 1.1
Name: Alexandria | Temperature: 13.0
Name: Alexandria | Temperature: 13.0
Name: Clay | Temperature: -1.8
Name: Belmont | Temperature: 12.2
Name: Cambridge | Temperature: -4.4
Name: Skidaway Island | Temperature: 7.3
Name: Andrews | Temperature: 4.0
Name: Allen Park | Temperature: -2.4
Name: Ashland | Temperature: -0.0
Name: Albany | Temperature: -2.7
Name: Passaic | Temperature: -1.3
Name: Champlin | Temperature: -15.6
Name: Avenal | Temperature: 10.9
Name: National City | Temperature: 16.6
Name: New Haven | Temperature: -273.1
Name: Clayton | Temperature: 10.8
Name: Agawam | Temperature: -1.7
Name: North Hempstead | Temperature: -273.1
Name: Pleasanton | Temperature: 11.8
Name: Olney | Temperature: -0.4
Name: Clemson | Temperature: 8.9
Name: Norton Shores | Temperature: -4.7
Name: Queensbury | Temperature: 9.7
Name: Akron | Temperature: -0.4
Name: Adrian | Temperature: -3.0
Name: Bristol | Temperature: -0.7
Name: Allendale | Temperature: -5.8
Name: Prospect Park | Temperature: 1.7
Name: Cottonwood-Verde Village | Temperature: -273.1
Name: North Olmsted | Temperature: -1.1
Name: Orangevale | Temperature: 11.6
Name: Claymont | Temperature: 1.1
Name: Atchison | Temperature: -2.7
Name: Albuquerque | Temperature: 0.5
Name: Clearlake | Temperature: 11.9
Name: Siesta Key | Temperature: 12.0
Name: Alamo Heights | Temperature: -273.1
Name: Adams | Temperature: -4.4
Name: Clayton | Temperature: 10.8
Name: Clayton | Temperature: 10.8
Name: Corning | Temperature: -3.2
Name: Richardson | Temperature: 10.4
Name: Charleston | Temperature: 10.0
Name: Overland Park | Temperature: 0.8
Name: Alma | Temperature: -22.0
Name: Albion | Temperature: -3.6
Name: Roselle Park | Temperature: 1.1
Name: Camp Pendleton South | Temperature: 16.4
Name: Alpena | Temperature: -6.8
Name: Bluffton | Temperature: 9.5
Name: Payson | Temperature: -2.0
Name: Owensboro | Temperature: 3.8
Name: Aloha | Temperature: 3.9
Name: Alondra Park | Temperature: 17.5
Name: Ahuimanu | Temperature: 23.1
Name: Algonquin | Temperature: -4.7
Name: Roselle | Temperature: -3.5
Name: Princeton | Temperature: 16.8
Name: Ambler | Temperature: 0.5
Name: Dickson | Temperature: 6.5
Name: McFarland | Temperature: 12.4
Name: Summerville | Temperature: 9.1
Name: Alta Sierra | Temperature: 5.6
Name: Albemarle | Temperature: 6.4
Name: Moore | Temperature: 1.1
Name: Altoona | Temperature: -0.6
Name: Amsterdam | Temperature: 8.3
Name: Clearfield | Temperature: -0.7
Name: Altamonte Springs | Temperature: 11.2
Name: Alden | Temperature: -1.8
Name: Albion | Temperature: -3.6
Name: Oceanside | Temperature: 16.6
Name: Amesbury | Temperature: -0.8
Name: Ambridge | Temperature: 0.8
Name: Monsey | Temperature: -0.9
Name: Amesbury | Temperature: -0.8
Name: Alpharetta | Temperature: 9.9
Name: Altadena | Temperature: 15.0
Name: Ames | Temperature: -11.2
Name: Altamont | Temperature: 0.2
Name: Pearl River | Temperature: -0.7
Name: Amherst Center | Temperature: -1.8
Name: Amory | Temperature: 8.1
Name: Allegany | Temperature: -3.3
